"","City","State","Total","1_Units","2_Units","3-4_Units"
"1","Abilene* TX MSA","5001",1875,3126,0,0
"2","Albany* GA MSA","4632",4632,0,0,0
"3","Albany-Schenectady-Troy* NY  MSA","33804",33266,75,0,463
"4","Albuquerque* NM MSA","28224",22750,0,646,4828
"5","Alexandria* LA MSA","2871",2871,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","27222",26916,0,306,0
"7","Altoona* PA MSA","563",563,0,0,0
"8","Amarillo* TX MSA","6851",6851,0,0,0
"9","Anchorage* AK MSA","32673",23035,6205,3433,0
"10","Anniston* AL MSA","3758",3758,0,0,0
"11","Appleton-Oshkosh-Neenah* WI  MSA","24990",20162,301,1440,3087
"12","Asheville* NC MSA","14446",13149,205,340,752
"13","Athens* GA MSA","10529",10055,474,0,0
"14","Atlanta  GA MSA","645898",545030,932,282,99654
"15","Auburn-Opelika* AL MSA","6596",6203,0,0,393
"16","Augusta-Aiken* GA-SC MSA","29313",29313,0,0,0
"17","Austin-San Marcos* TX MSA","70639",67344,1901,0,1394
"18","Bakersfield* CA MSA","37928",37213,0,0,715
"19","Bangor* ME MSA","2215",2096,0,119,0
"20","Barnstable-Yarmouth* MA MSA","16083",16083,0,0,0
"21","Baton Rouge* LA MSA","11270",10189,32,0,1049
"22","Beaumont-Port Arthur* TX MSA","5947",5947,0,0,0
"23","Bellingham* WA MSA","15416",13126,416,0,1874
"24","Benton Harbor* MI MSA","4451",4451,0,0,0
"25","Billings* MT MSA","6365",6365,0,0,0
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","15255",15180,0,75,0
"27","Binghamton* NY MSA","1938",1938,0,0,0
"28","Birmingham* AL MSA","55692",54097,194,0,1401
"29","Bismarck* ND MSA","9456",6685,1123,1178,470
"30","Bloomington* IN MSA","6625",6200,425,0,0
"31","Bloomington-Normal* IL MSA","10451",10101,0,350,0
"32","Boise City* ID MSA","71647",59813,753,585,10496
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","223543",189399,2827,2328,28989
"34","Brownsville-Harlingen-San  Benito* TX MSA","17227",15788,577,472,390
"35","Bryan-College Station* TX MSA","12317",7243,4105,106,863
"36","Buffalo-Niagara Falls* NY MSA","29407",28463,120,0,824
"37","Burlington* VT MSA","9101",7946,306,459,390
"38","Canton-Massillon* OH MSA","16255",15399,856,0,0
"39","Casper* WY MSA","1634",1634,0,0,0
"40","Cedar Rapids* IA MSA","12885",9163,366,509,2847
"41","Champaign-Urbana* IL MSA","7546",4724,222,0,2600
"42","Charleston-North  Charleston* SC MSA","49541",44949,163,231,4198
"43","Charleston* WV MSA","3624",3440,0,184,0
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","214181",191647,1029,771,20734
"45","Charlottesville* VA MSA","25619",16876,756,0,7987
"46","Chattanooga* TN-GA MSA","22671",22032,325,67,247
"47","Cheyenne* WY MSA","4214",4214,0,0,0
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","629666",554792,7102,15174,52598
"49","Chico-Paradise* CA MSA","14572",14572,0,0,0
"50","Cincinnati-Hamilton  OH-KY-  IN CMSA","148383",120034,1255,3168,23926
"51","Clarksville-Hopkinsville*  TN-KY MSA","10138",7441,0,472,2225
"52","Cleveland-Akron  OH CMSA","160114",154009,1501,2147,2457
"53","Colorado Springs* CO MSA","65495",60926,0,631,3938
"54","Columbia* MO MSA","10603",10218,385,0,0
"55","Columbia* SC MSA","38133",31964,0,0,6169
"56","Columbus* GA-AL MSA","20882",12322,0,0,8560
"57","Columbus  OH MSA","185643",159678,1590,4512,19863
"58","Corpus Christi* TX MSA","7819",7033,233,553,0
"59","Corvallis OR MSA*","4308",4121,187,0,0
"60","Cumberland* MD-WV MSA","1949",1949,0,0,0
"61","Dallas-Fort Worth  TX CMSA","600765",569058,1072,8112,22523
"62","Danville* VA MSA","2867",2811,0,56,0
"63","Davenport-Moline-Rock  Island* IA-IL MSA","7976",7622,174,0,180
"64","Dayton-Springfield* OH MSA","30349",29356,775,218,0
"65","Daytona Beach* FL MSA","89630",52706,75,471,36378
"66","Decatur* Al MSA","2785",2785,0,0,0
"67","Decatur* IL MSA","2616",2616,0,0,0
"68","Denver-Boulder-Greeley  CO  CMSA","439452",326766,771,1341,110574
"69","Des Moines* IA MSA","43243",40238,1001,846,1158
"70","Detroit-Ann Arbor-Flint  MI  CMSA","311245",290513,3389,4103,13240
"71","Dothan* AL MSA","2676",2553,123,0,0
