"City","State","Total","X1_Units","X2_Units","X3.4_Units","X5.Inf_Units"
"Abilene","TX",2853,2733,120,0,0
"Akron","OH",21680,21070,340,270,0
"Albany","GA",6298,6298,0,0,0
"Albany-Schenectady-Troy","NY",22758,20663,490,695,910
"Albuquerque","NM",63105,50220,0,385,12500
"Alexandria","LA",3613,3613,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",34382,32556,0,231,1595
"Altoona","PA",250,250,0,0,0
"Amarillo","TX",8213,8213,0,0,0
"Ames","IA",12183,1729,0,0,10454
"Anchorage","AK",12534,10440,1188,906,0
"Anderson","IN",3011,3011,0,0,0
"Anderson","SC",16574,16574,0,0,0
"Ann Arbor","MI",17089,17089,0,0,0
"Anniston-Oxford","AL",2147,2067,80,0,0
"Appleton","WI",12963,10932,1617,0,414
"Asheville","NC",34845,34265,340,0,240
"Athens-Clarke County","GA",15583,13663,0,1089,831
"Atlanta-Sandy Springs-Marietta","GA",615230,526257,2250,1874,84849
"Atlantic City","NJ",8292,8292,0,0,0
"Auburn-Opelika","AL",17342,16114,1228,0,0
"Augusta-Richmond County","GA-SC",41752,41692,60,0,0
"Austin-Round Rock","TX",160616,120828,1063,4428,34297
"Bakersfield","CA",62851,59103,382,3366,0
"Baltimore-Towson","MD",68599,65863,0,174,2562
"Bangor","ME",1287,1287,0,0,0
"Barnstable Town","MA",21048,20869,0,179,0
"Baton Rouge","LA",33785,29154,0,1050,3581
"Battle Creek","MI",925,925,0,0,0
"Bay City","MI",1072,1072,0,0,0
"Beaumont-Port Arthur","TX",7725,7487,0,0,238
"Bellingham","WA",14445,13208,329,908,0
"Bend","OR",33400,30605,1680,1115,0
"Billings","MT",3485,2720,0,765,0
"Binghamton","NY",1267,1267,0,0,0
"Birmingham-Hoover","AL",100527,76338,0,0,24189
"Bismarck","ND",685,685,0,0,0
"Blacksburg-Christiansburg-Radford","VA",8317,8109,0,0,208
"Bloomington","IN",6272,4277,1259,236,500
"Bloomington-Normal","IL",5160,5160,0,0,0
"Boise City-Nampa","ID",62149,60119,1314,716,0
"Boston-Cambridge-Quincy","MA-NH",132836,91397,4525,3061,33853
"Boulder","CO",18447,10653,0,0,7794
"Bowling Green","KY",10525,9394,1131,0,0
"Bremerton-Silverdale","WA",11627,10408,905,314,0
"Bridgeport-Stamford-Norwalk","CT",45861,31662,711,0,13488
"Brownsville-Harlingen","TX",25486,19595,872,3060,1959
"Brunswick","GA",11464,11464,0,0,0
"Buffalo-Niagara Falls","NY",19277,19277,0,0,0
"Burlington","NC",9654,9654,0,0,0
"Burlington-South Burlington","VT",8137,5605,109,0,2423
"Canton-Massillon","OH",9906,9656,0,0,250
"Cape Coral-Fort Myers","FL",195797,147664,17069,8191,22873
"Carson City","NV",945,945,0,0,0
"Casper","WY",2635,2635,0,0,0
"Cedar Rapids","IA",8333,7052,0,272,1009
"Champaign-Urbana","IL",12119,11886,0,0,233
"Charleston","WV",1982,1982,0,0,0
"Charleston-North Charleston","SC",75642,73024,399,100,2119
"Charlotte-Gastonia-Concord","NC-SC",179349,174236,151,384,4578
"Charlottesville","VA",25820,20411,0,0,5409
"Chattanooga","TN-GA",26956,25475,178,67,1236
"Cheyenne","WY",5900,5700,200,0,0
"Chicago-Naperville-Joliet","IL-IN-WI",378576,327662,4043,9057,37814
"Chico","CA",18144,18144,0,0,0
"Cincinnati-Middletown","OH-KY-IN",92011,87334,0,528,4149
"Clarksville","TN-KY",14202,14172,0,30,0
"Cleveland","TN",16256,4236,140,180,11700
"Cleveland-Elyria-Mentor","OH",70412,69258,0,624,530
"Coeur d""Alene","ID",13002,12329,673,0,0
"College Station-Bryan","TX",13825,13825,0,0,0
"Colorado Springs","CO",54077,54077,0,0,0
"Columbia","MO",13903,12998,425,0,480
"Columbia","SC",49472,48721,751,0,0
"Columbus","GA-AL",32782,20616,248,174,11744
"Columbus","IN",2242,2242,0,0,0
"Columbus","OH",124749,121622,835,1419,873
"Corpus Christi","TX",16507,13810,100,2597,0
"Corvallis","OR",3738,3738,0,0,0
"Cumberland","MD-WV",979,979,0,0,0
"Dallas-Fort Worth-Arlington","TX",496817,474369,1584,1668,19196
"Dalton","GA",7196,6756,120,320,0
"Danville","IL",120,120,0,0,0
"Danville","VA",2334,2334,0,0,0
"Davenport-Moline-Rock Island","IA-IL",5667,4281,0,0,1386
"Dayton","OH",24241,24023,218,0,0
"Decatur","AL",3616,3616,0,0,0
"Decatur","IL",240,240,0,0,0
"Deltona-Daytona Beach-Ormond Beach","FL",54004,52871,0,0,1133
"Denver-Aurora","CO",249497,212457,812,2424,33804
"Des Moines","IA",35455,29050,2929,0,3476
