"City","State","Total","X1_Units","X2_Units","X3.4_Units","X5.Inf_Units"
"Abilene","TX MSA",1739,1739,0,0,0
"Albany","GA MSA",8255,5097,0,0,3158
"Albany-Schenectady-Troy","NYMSA",11549,10968,0,0,581
"Albuquerque","NM MSA",31204,30008,0,216,980
"Alexandria","LA MSA",3587,3587,0,0,0
"Allentown-Bethlehem-Easton PA MSA","10424",8780,0,244,1400,NA
"Altoona","PA MSA",467,467,0,0,0
"Amarillo","TX MSA",5002,5002,0,0,0
"Anchorage","AK MSA",5774,5421,353,0,0
"Anniston","AL MSA",1698,1423,0,0,275
"Appleton-Oshkosh-Neenah","WIMSA",11037,9791,624,0,622
"Asheville","NC MSA",12011,10828,331,0,852
"Athens","GA MSA",8722,7440,1282,0,0
"Atlanta","GA MSA",465636,382484,2011,0,81141
"Augusta-Aiken","GA-SC MSA",20378,20301,0,0,77
"Austin-San Marcos","TX MSA",106292,73295,116,804,32077
"Bakersfield","CA MSA",21636,19889,0,477,1270
"Bangor","ME MSA",539,539,0,0,0
"Barnstable-Yarmouth","MA MSA",16457,15737,0,0,720
"Baton Rouge","LA MSA",9722,8378,0,0,1344
"Beaumont-Port Arthur","TX MSA",4451,4451,0,0,0
"Bellingham","WA MSA",9054,8460,401,0,193
"Benton Harbor","MI MSA",255,255,0,0,0
"Billings","MT MSA",2280,2280,0,0,0
"Biloxi-Gulfport-Pascagoula MS MSA","14236",14236,0,0,0,NA
"Binghamton","NY MSA",837,837,0,0,0
"Birmingham","AL MSA",44589,44589,0,0,0
"Bismarck","ND MSA",117,117,0,0,0
"Bloomington","IN MSA",5190,4554,83,553,0
"Bloomington-Normal","IL MSA",4809,4269,0,0,540
"Boise City","ID MSA",51018,50392,0,626,0
"Boston-Worcester-LawrenceMA-NH-ME-CT CMSA","151999",124379,2745,3192,21683,NA
"Brownsville-Harlingen-SanBenito","TX MSA",9490,8711,171,292,316
"Bryan-College Station","TX MSA",5513,4326,1187,0,0
"Buffalo-Niagara Falls","NY MSA",14003,12520,275,0,1208
"Burlington","VT MSA",5128,4610,200,0,318
"Canton-Massillon","OH MSA",9216,9035,181,0,0
"Casper","WY MSA",800,800,0,0,0
"Cedar Rapids","IA MSA",3553,1701,953,307,592
"Champaign-Urbana","IL MSA",2762,1764,0,0,998
"Charleston-NorthCharleston","SC MSA",51201,47621,470,0,3110
"Charleston","WV MSA",2507,2507,0,0,0
"Charlotte-Gastonia-RockHill","NC-SC MSA",168074,138097,2379,310,27288
"Charlottesville","VA MSA",11062,10972,90,0,0
"Chattanooga","TN-GA MSA",19732,19409,80,0,243
"Cheyenne","WY MSA",2920,2477,77,0,366
"Chicago-Gary-Kenosha","IL-IN-WI CMSA",275406,255725,1166,6125,12390
"Chico-Paradise","CA MSA",8993,8993,0,0,0
"Cincinnati-Hamilton","OH-KY-IN CMSA",77522,73762,126,1340,2294
"Clarksville-Hopkinsville TN-KY MSA","5692",4812,70,270,540,NA
"Cleveland-Akron","OH CMSA",86596,81154,641,1284,3517
"Colorado Springs","CO MSA",37146,35931,75,420,720
"Columbia","MO MSA",4871,4744,127,0,0
"Columbia","SC MSA",26299,26299,0,0,0
"Columbus","GA-AL MSA",9201,8880,90,231,0
"Columbus","OH MSA",90791,80108,967,1564,8152
"Corpus Christi","TX MSA",8734,6202,133,1899,500
"Cumberland","MD-WV MSA",989,989,0,0,0
"Dallas-Fort Worth","TX CMSA",378116,353820,522,0,23774
"Danville","VA MSA",1854,1854,0,0,0
"Davenport-Moline-RockIsland","IA-IL MSA",3590,3225,0,0,365
"Dayton-Springfield","OH MSA",12465,12158,0,307,0
"Daytona Beach","FL MSA",38768,30970,330,156,7312
"Decatur","Al MSA",2091,1986,0,0,105
"Decatur","IL MSA",1106,945,161,0,0
"Denver-Boulder-Greeley","COCMSA",297378,222889,583,0,73906
"Des Moines","IA MSA",21245,17987,248,0,3010
"Detroit-Ann Arbor-Flint","MICMSA",197172,177746,3500,8165,7761
"Dothan","AL MSA",1896,1896,0,0,0
"Dover","DE MSA",5559,5559,0,0,0
"Dubuque","IA MSA",530,530,0,0,0
"Duluth-Superior","MN-WI MSA",3298,2739,116,443,0
"Eau Claire","WI MSA",1823,773,0,1050,0
"El Paso","TX MSA",12995,12995,0,0,0
"Elkhart-Goshen","IN MSA",8252,7372,0,880,0
"Elmira","NY MSA",365,365,0,0,0
"Enid","OK MSA",750,750,0,0,0
"Erie","PA MSA",2332,1885,0,75,372
"Eugene-Springfield","OR MSA",12269,11063,1206,0,0
"Evansville-Henderson","IN-KYMSA",9448,8946,502,0,0
"Fargo-Moorhead","ND-MN MSA",3493,777,0,0,2716
"Fayetteville","NC MSA",4719,4719,0,0,0
"Fayetteville-Springdale-Rogers","AR MSA",18639,17348,641,190,460
"Flagstaff","AZ-UT MSA",6834,6834,0,0,0
"Florence","AL MSA",781,781,0,0,0
"Florence","SC MSA",3516,3212,0,0,304
"Fort Collins-Loveland","CO MSA",28713,26205,513,404,1591
"Fort Myers-Cape Coral","FL MSA",61367,41053,1735,2981,15598
"Fort Pierce-Port St. Lucie FL MSA","41302",35883,0,0,5419,NA
"Fort Smith","AR-OK MSA",3747,3221,526,0,0
"Fort Walton Beach","FL MSA",13041,9645,0,0,3396
"Fort Wayne","IN MSA",15323,15123,200,0,0
"Fresno","CA MSA",19110,19110,0,0,0
"Gadsden","AL MSA",512,512,0,0,0
"Gainesville","FL MSA",10833,7438,87,0,3308
"Glens Falls","NY MSA",1445,1445,0,0,0
"Goldsboro","NC MSA",2757,2500,143,114,0
"Grand Forks","ND-MN MSA",0,0,0,0,0
"Grand Junction","CO MSA",5951,5491,0,0,460
"Grand Rapids-Muskegon-Holland","MI MSA",42322,39569,424,0,2329
"Great Falls","MT MSA",550,335,0,215,0
"Green Bay","WI MSA",4001,3516,144,0,341
"Greensboro--Winston-Salem--High Point","NC MSA",62933,54124,0,151,8658
"Greenville","NC MSA",8297,6440,325,0,1532
"Greenville-Spartanburg-Anderson","SC MSA",49298,47450,290,0,1558
"Harrisburg-Lebanon-Carlisle","PA MSA",10018,10018,0,0,0
"Hartford","CT MSA",21441,21205,0,0,236
"Hattiesburg","MS MSA",782,782,0,0,0
"Hickory-Morganton-Lenoir NC MSA","15113",13432,328,0,1353,NA
"Honolulu","HI MSA",15075,15075,0,0,0
"Houma","LA MSA",7416,7416,0,0,0
"Houston-Galveston-BrazoriaTX CMSA","261565",248640,854,186,11885,NA
"Huntington-Ashland","WV-KY-OH MSA",50,50,0,0,0
"Huntsville","AL MSA",4785,4433,0,114,238
"Indianapolis","IN MSA",101685,98788,1245,501,1151
"Iowa City","IA MSA",3071,1909,180,482,500
"Jackson","MI MSA",452,452,0,0,0
"Jackson","MS MSA",17713,16414,0,142,1157
"Jackson","TN MSA",5315,5315,0,0,0
"Jacksonville","FL MSA",89168,65519,438,228,22983
"Jacksonville","NC MSA",3642,3642,0,0,0
"Jamestown","NY MSA",88,88,0,0,0
"Janesville-Beloit","WI MSA",2673,2448,0,225,0
"Johnson City-Kingsport-Bristol","TN-VA MSA",7784,6171,0,0,1613
"Johnstown","PA MSA",161,161,0,0,0
"Jonesboro","AR MSA",1924,1844,80,0,0
"Joplin","MO MSA",1097,994,103,0,0
"Kalamazoo-Battle Creek","MIMSA",11267,11267,0,0,0
"Kansas City","MO-KS MSA",129836,103194,1450,3039,22153
"Killeen-Temple","TX MSA",13215,12152,787,276,0
"Knoxville","TN MSA",22252,20781,258,133,1080
"Kokomo","IN MSA",2765,2765,0,0,0
"La Crosse","WI-MN MSA",871,711,160,0,0
"Lafayette","LA MSA",12157,10657,1500,0,0
"Lafayette","IN MSA",8047,3729,395,0,3923
"Lake Charles","LA MSA",4321,3857,138,0,326
"Lakeland-Winter Haven","FL MSA",21994,21469,0,0,525
"Lancaster","PA MSA",11968,11854,114,0,0
"Lansing-East Lansing","MI MSA",10821,10589,232,0,0
"Laredo","TX MSA",5533,5321,0,0,212
"Las Cruces","NM MSA",8215,8215,0,0,0
"Las Vegas","NV-AZ MSA",195019,171905,644,2862,19608
"Lawrence","KS MSA",4043,2934,393,0,716
"Lawton","OK MSA",1827,1827,0,0,0
"Lewiston-Auburn","ME MSA",738,738,0,0,0
"Lexington","KY MSA",20818,19680,660,0,478
"Lima","OH MSA",0,0,0,0,0
"Lincoln","NE MSA",10093,8516,212,0,1365
"Little Rock-North LittleRock","AR MSA",21152,21152,0,0,0
"Longview-Marshall","TX MSA",1441,1441,0,0,0
"Los Angeles-Riverside-Orange County","CA CMSA",535083,433571,5433,8164,87915
"Louisville","KY-IN MSA",45811,42585,165,950,2111
"Lubbock","TX MSA",5064,4761,0,0,303
"Lynchburg","VA MSA",8661,8280,118,263,0
"Macon","GA MSA",13749,13515,234,0,0
"Madison","WI MSA",25124,17262,552,2004,5306
"Mansfield","OH MSA",1881,481,0,1400,0
"McAllen-Edinburg-Mission TX MSA","17992",16697,165,351,779,NA
"Medford-Ashland","OR MSA",7232,7083,149,0,0
"Melbourne-Titusville-PalmBay","FL MSA",38408,28879,0,847,8682
"Memphis","TN-AR-MS MSA",104729,68925,0,0,35804
"Merced","CA MSA",7485,7485,0,0,0
"Miami-Fort Lauderdale","FLCMSA",159979,141941,446,692,16900
"Milwaukee-Racine","WI CMSA",58534,41628,1998,1310,13598
"Minneapolis-St. Paul","MN-WIMSA",145637,128041,2587,1341,13668
"Missoula","MT MSA",842,842,0,0,0
"Mobile","AL MSA",39284,26191,471,0,12622
"Modesto","CA MSA",15649,15052,125,194,278
"Monroe","LA MSA",1931,1931,0,0,0
"Montgomery","AL MSA",9842,9842,0,0,0
"Muncie","IN MSA",4892,1292,0,600,3000
"Myrtle Beach","SC MSA",27764,17627,0,1292,8845
"Naples","FL MSA",99710,55347,179,7453,36731
"Nashville","TN MSA",82027,76925,690,443,3969
"New London-Norwich","CT-RI MSA",7975,7602,0,0,373
"New Orleans","LA MSA",31287,28533,232,173,2349
"New York-Northern NewJersey-Long Island","NY-NJ-CT-PA CMSA",449634,273061,16690,8290,151593
"Norfolk-Virginia Beach-Newport News","VA-NC MSA",47960,46361,116,692,791
"Ocala","FL MSA",68427,68427,0,0,0
"Odessa-Midland","TX MSA",2994,2994,0,0,0
"Oklahoma City","OK MSA",37545,37545,0,0,0
"Omaha","NE-IA MSA",19944,19944,0,0,0
"Orlando","FL MSA",151323,131303,809,389,18822
"Owensboro","KY MSA",2959,1919,0,0,1040
"Panama City","FL MSA",5044,4579,465,0,0
"Parkersburg-Marietta","WV-OHMSA",673,673,0,0,0
"Pensacola","FL MSA",20318,20318,0,0,0
"Peoria-Pekin","IL MSA",8172,5892,200,0,2080
"Philadelphia-Wilmington-Atlantic City","PA-NJ-DE-MDCMSA",154579,132570,949,252,20808
"Phoenix-Mesa","AZ MSA",357217,310670,579,7831,38137
"Pine Bluff","AR MSA",369,289,80,0,0
"Pittsburgh","PA MSA",73547,70072,80,276,3119
"Pittsfield","MA MSA",0,0,0,0,0
"Pocatello","ID MSA",1121,1006,115,0,0
"Portland","ME MSA",11118,11118,0,0,0
"Portland-Salem","OR-WA CMSA",112273,98552,2720,1537,9464
"Providence-Fall River-Warwick","RI-MA MSA",24778,19281,285,0,5212
"Provo-Orem","UT MSA",19725,18537,578,0,610
"Pueblo","CO MSA",9066,8610,456,0,0
"Punta Gorda","FL MSA",9982,8971,0,286,725
"Raleigh-Durham-Chapel HillNC MSA","103771",102768,231,0,772,NA
"Rapid City","SD MSA",3444,2796,0,0,648
"Reading","PA MSA",5668,5668,0,0,0
"Redding","CA MSA",17210,6643,0,10567,0
"Reno","NV MSA",29585,29585,0,0,0
"Richland-Kennewick-Pasco WA MSA","6623",6623,0,0,0,NA
"Richmond-Petersburg","VA MSA",45341,44682,0,0,659
"Roanoke","VA MSA",4813,4457,0,0,356
"Rochester","MN MSA",6712,5738,219,247,508
"Rochester","NY MSA",18437,18087,0,0,350
"Rockford","IL MSA",10267,9526,741,0,0
"Rocky Mount","NC MSA",2923,2923,0,0,0
"Sacramento-Yolo","CA CMSA",167998,134047,0,1080,32871
"Saginaw-Bay City-Midland MI MSA","3083",2861,222,0,0,NA
"St. Cloud","MN MSA",2596,2596,0,0,0
"St. Joseph","MO MSA",753,468,15,0,270
"St. Louis","MO-IL MSA",91808,81140,745,1660,8263
"Salinas","CA MSA",18253,12253,1833,4167,0
"Salt Lake City-Ogden","UT MSA",59452,56784,329,882,1457
